dc (V),/NM0/D w 1e-06 vds 0.5  (A),/NM0/D w 1e-06 vds 0.7222222  (A),/NM0/D w 1e-06 vds 0.9444444  (A),/NM0/D w 1e-06 vds 1.166667  (A),/NM0/D w 1e-06 vds 1.388889  (A),/NM0/D w 1e-06 vds 1.611111  (A),/NM0/D w 1e-06 vds 1.833333  (A),/NM0/D w 1e-06 vds 2.055556  (A),/NM0/D w 1e-06 vds 2.277778  (A),/NM0/D w 1e-06 vds 2.5  (A),/NM0/D w 7e-06 vds 0.5  (A),/NM0/D w 7e-06 vds 0.7222222  (A),/NM0/D w 7e-06 vds 0.9444444  (A),/NM0/D w 7e-06 vds 1.166667  (A),/NM0/D w 7e-06 vds 1.388889  (A),/NM0/D w 7e-06 vds 1.611111  (A),/NM0/D w 7e-06 vds 1.833333  (A),/NM0/D w 7e-06 vds 2.055556  (A),/NM0/D w 7e-06 vds 2.277778  (A),/NM0/D w 7e-06 vds 2.5  (A),/NM0/D w 1.3e-05 vds 0.5  (A),/NM0/D w 1.3e-05 vds 0.7222222  (A),/NM0/D w 1.3e-05 vds 0.9444444  (A),/NM0/D w 1.3e-05 vds 1.166667  (A),/NM0/D w 1.3e-05 vds 1.388889  (A),/NM0/D w 1.3e-05 vds 1.611111  (A),/NM0/D w 1.3e-05 vds 1.833333  (A),/NM0/D w 1.3e-05 vds 2.055556  (A),/NM0/D w 1.3e-05 vds 2.277778  (A),/NM0/D w 1.3e-05 vds 2.5  (A),/NM0/D w 1.9e-05 vds 0.5  (A),/NM0/D w 1.9e-05 vds 0.7222222  (A),/NM0/D w 1.9e-05 vds 0.9444444  (A),/NM0/D w 1.9e-05 vds 1.166667  (A),/NM0/D w 1.9e-05 vds 1.388889  (A),/NM0/D w 1.9e-05 vds 1.611111  (A),/NM0/D w 1.9e-05 vds 1.833333  (A),/NM0/D w 1.9e-05 vds 2.055556  (A),/NM0/D w 1.9e-05 vds 2.277778  (A),/NM0/D w 1.9e-05 vds 2.5  (A),/NM0/D w 2.5e-05 vds 0.5  (A),/NM0/D w 2.5e-05 vds 0.7222222  (A),/NM0/D w 2.5e-05 vds 0.9444444  (A),/NM0/D w 2.5e-05 vds 1.166667  (A),/NM0/D w 2.5e-05 vds 1.388889  (A),/NM0/D w 2.5e-05 vds 1.611111  (A),/NM0/D w 2.5e-05 vds 1.833333  (A),/NM0/D w 2.5e-05 vds 2.055556  (A),/NM0/D w 2.5e-05 vds 2.277778  (A),/NM0/D w 2.5e-05 vds 2.5  (A)
1.150,-7.622E-6,-7.622E-6,-7.622E-6,-7.622E-6,-7.622E-6,-7.622E-6,-7.622E-6,-7.622E-6,-7.622E-6,-7.622E-6,-54.39E-6,-54.39E-6,-54.39E-6,-54.39E-6,-54.39E-6,-54.39E-6,-54.39E-6,-54.39E-6,-54.39E-6,-54.39E-6,-109.0E-6,-109.0E-6,-109.0E-6,-109.0E-6,-109.0E-6,-109.0E-6,-109.0E-6,-109.0E-6,-109.0E-6,-109.0E-6,-158.6E-6,-158.6E-6,-158.6E-6,-158.6E-6,-158.6E-6,-158.6E-6,-158.6E-6,-158.6E-6,-158.6E-6,-158.6E-6,-208.2E-6,-208.2E-6,-208.2E-6,-208.2E-6,-208.2E-6,-208.2E-6,-208.2E-6,-208.2E-6,-208.2E-6,-208.2E-6
1.200,-7.632E-6,-7.632E-6,-7.632E-6,-7.632E-6,-7.632E-6,-7.632E-6,-7.632E-6,-7.632E-6,-7.632E-6,-7.632E-6,-54.46E-6,-54.46E-6,-54.46E-6,-54.46E-6,-54.46E-6,-54.46E-6,-54.46E-6,-54.46E-6,-54.46E-6,-54.46E-6,-109.1E-6,-109.1E-6,-109.1E-6,-109.1E-6,-109.1E-6,-109.1E-6,-109.1E-6,-109.1E-6,-109.1E-6,-109.1E-6,-158.8E-6,-158.8E-6,-158.8E-6,-158.8E-6,-158.8E-6,-158.8E-6,-158.8E-6,-158.8E-6,-158.8E-6,-158.8E-6,-208.5E-6,-208.5E-6,-208.5E-6,-208.5E-6,-208.5E-6,-208.5E-6,-208.5E-6,-208.5E-6,-208.5E-6,-208.5E-6
1.250,-7.642E-6,-7.642E-6,-7.642E-6,-7.642E-6,-7.642E-6,-7.642E-6,-7.642E-6,-7.642E-6,-7.642E-6,-7.642E-6,-54.53E-6,-54.53E-6,-54.53E-6,-54.53E-6,-54.53E-6,-54.53E-6,-54.53E-6,-54.53E-6,-54.53E-6,-54.53E-6,-109.3E-6,-109.3E-6,-109.3E-6,-109.3E-6,-109.3E-6,-109.3E-6,-109.3E-6,-109.3E-6,-109.3E-6,-109.3E-6,-159.0E-6,-159.0E-6,-159.0E-6,-159.0E-6,-159.0E-6,-159.0E-6,-159.0E-6,-159.0E-6,-159.0E-6,-159.0E-6,-208.7E-6,-208.7E-6,-208.7E-6,-208.7E-6,-208.7E-6,-208.7E-6,-208.7E-6,-208.7E-6,-208.7E-6,-208.7E-6
1.300,-7.651E-6,-7.651E-6,-7.651E-6,-7.651E-6,-7.651E-6,-7.651E-6,-7.651E-6,-7.651E-6,-7.651E-6,-7.651E-6,-54.59E-6,-54.59E-6,-54.59E-6,-54.59E-6,-54.59E-6,-54.59E-6,-54.59E-6,-54.59E-6,-54.59E-6,-54.59E-6,-109.4E-6,-109.4E-6,-109.4E-6,-109.4E-6,-109.4E-6,-109.4E-6,-109.4E-6,-109.4E-6,-109.4E-6,-109.4E-6,-159.2E-6,-159.2E-6,-159.2E-6,-159.2E-6,-159.2E-6,-159.2E-6,-159.2E-6,-159.2E-6,-159.2E-6,-159.2E-6,-209.0E-6,-209.0E-6,-209.0E-6,-209.0E-6,-209.0E-6,-209.0E-6,-209.0E-6,-209.0E-6,-209.0E-6,-209.0E-6
1.350,-7.660E-6,-7.660E-6,-7.660E-6,-7.660E-6,-7.660E-6,-7.660E-6,-7.660E-6,-7.660E-6,-7.660E-6,-7.660E-6,-54.65E-6,-54.65E-6,-54.65E-6,-54.65E-6,-54.65E-6,-54.65E-6,-54.65E-6,-54.65E-6,-54.65E-6,-54.65E-6,-109.5E-6,-109.5E-6,-109.5E-6,-109.5E-6,-109.5E-6,-109.5E-6,-109.5E-6,-109.5E-6,-109.5E-6,-109.5E-6,-159.4E-6,-159.4E-6,-159.4E-6,-159.4E-6,-159.4E-6,-159.4E-6,-159.4E-6,-159.4E-6,-159.4E-6,-159.4E-6,-209.2E-6,-209.2E-6,-209.2E-6,-209.2E-6,-209.2E-6,-209.2E-6,-209.2E-6,-209.2E-6,-209.2E-6,-209.2E-6
1.400,-7.668E-6,-7.668E-6,-7.668E-6,-7.668E-6,-7.668E-6,-7.668E-6,-7.668E-6,-7.668E-6,-7.668E-6,-7.668E-6,-54.72E-6,-54.72E-6,-54.72E-6,-54.72E-6,-54.72E-6,-54.72E-6,-54.72E-6,-54.72E-6,-54.72E-6,-54.72E-6,-109.6E-6,-109.6E-6,-109.6E-6,-109.6E-6,-109.6E-6,-109.6E-6,-109.6E-6,-109.6E-6,-109.6E-6,-109.6E-6,-159.5E-6,-159.5E-6,-159.5E-6,-159.5E-6,-159.5E-6,-159.5E-6,-159.5E-6,-159.5E-6,-159.5E-6,-159.5E-6,-209.5E-6,-209.5E-6,-209.5E-6,-209.5E-6,-209.5E-6,-209.5E-6,-209.5E-6,-209.5E-6,-209.5E-6,-209.5E-6
1.450,-7.677E-6,-7.677E-6,-7.677E-6,-7.677E-6,-7.677E-6,-7.677E-6,-7.677E-6,-7.677E-6,-7.677E-6,-7.677E-6,-54.78E-6,-54.78E-6,-54.78E-6,-54.78E-6,-54.78E-6,-54.78E-6,-54.78E-6,-54.78E-6,-54.78E-6,-54.78E-6,-109.8E-6,-109.8E-6,-109.8E-6,-109.8E-6,-109.8E-6,-109.8E-6,-109.8E-6,-109.8E-6,-109.8E-6,-109.8E-6,-159.7E-6,-159.7E-6,-159.7E-6,-159.7E-6,-159.7E-6,-159.7E-6,-159.7E-6,-159.7E-6,-159.7E-6,-159.7E-6,-209.7E-6,-209.7E-6,-209.7E-6,-209.7E-6,-209.7E-6,-209.7E-6,-209.7E-6,-209.7E-6,-209.7E-6,-209.7E-6
1.500,-7.685E-6,-7.685E-6,-7.685E-6,-7.685E-6,-7.685E-6,-7.685E-6,-7.685E-6,-7.685E-6,-7.685E-6,-7.685E-6,-54.84E-6,-54.84E-6,-54.84E-6,-54.84E-6,-54.84E-6,-54.84E-6,-54.84E-6,-54.84E-6,-54.84E-6,-54.84E-6,-109.9E-6,-109.9E-6,-109.9E-6,-109.9E-6,-109.9E-6,-109.9E-6,-109.9E-6,-109.9E-6,-109.9E-6,-109.9E-6,-159.9E-6,-159.9E-6,-159.9E-6,-159.9E-6,-159.9E-6,-159.9E-6,-159.9E-6,-159.9E-6,-159.9E-6,-159.9E-6,-209.9E-6,-209.9E-6,-209.9E-6,-209.9E-6,-209.9E-6,-209.9E-6,-209.9E-6,-209.9E-6,-209.9E-6,-209.9E-6
1.550,-7.693E-6,-7.693E-6,-7.693E-6,-7.693E-6,-7.693E-6,-7.693E-6,-7.693E-6,-7.693E-6,-7.693E-6,-7.693E-6,-54.90E-6,-54.90E-6,-54.90E-6,-54.90E-6,-54.90E-6,-54.90E-6,-54.90E-6,-54.90E-6,-54.90E-6,-54.90E-6,-110.0E-6,-110.0E-6,-110.0E-6,-110.0E-6,-110.0E-6,-110.0E-6,-110.0E-6,-110.0E-6,-110.0E-6,-110.0E-6,-160.1E-6,-160.1E-6,-160.1E-6,-160.1E-6,-160.1E-6,-160.1E-6,-160.1E-6,-160.1E-6,-160.1E-6,-160.1E-6,-210.1E-6,-210.1E-6,-210.1E-6,-210.1E-6,-210.1E-6,-210.1E-6,-210.1E-6,-210.1E-6,-210.1E-6,-210.1E-6
1.600,-7.701E-6,-7.701E-6,-7.701E-6,-7.701E-6,-7.701E-6,-7.701E-6,-7.701E-6,-7.701E-6,-7.701E-6,-7.701E-6,-54.95E-6,-54.95E-6,-54.95E-6,-54.95E-6,-54.95E-6,-54.95E-6,-54.95E-6,-54.95E-6,-54.95E-6,-54.95E-6,-110.1E-6,-110.1E-6,-110.1E-6,-110.1E-6,-110.1E-6,-110.1E-6,-110.1E-6,-110.1E-6,-110.1E-6,-110.1E-6,-160.2E-6,-160.2E-6,-160.2E-6,-160.2E-6,-160.2E-6,-160.2E-6,-160.2E-6,-160.2E-6,-160.2E-6,-160.2E-6,-210.4E-6,-210.4E-6,-210.4E-6,-210.4E-6,-210.4E-6,-210.4E-6,-210.4E-6,-210.4E-6,-210.4E-6,-210.4E-6
1.650,-7.709E-6,-7.709E-6,-7.709E-6,-7.709E-6,-7.709E-6,-7.709E-6,-7.709E-6,-7.709E-6,-7.709E-6,-7.709E-6,-55.01E-6,-55.01E-6,-55.01E-6,-55.01E-6,-55.01E-6,-55.01E-6,-55.01E-6,-55.01E-6,-55.01E-6,-55.01E-6,-110.2E-6,-110.2E-6,-110.2E-6,-110.2E-6,-110.2E-6,-110.2E-6,-110.2E-6,-110.2E-6,-110.2E-6,-110.2E-6,-160.4E-6,-160.4E-6,-160.4E-6,-160.4E-6,-160.4E-6,-160.4E-6,-160.4E-6,-160.4E-6,-160.4E-6,-160.4E-6,-210.6E-6,-210.6E-6,-210.6E-6,-210.6E-6,-210.6E-6,-210.6E-6,-210.6E-6,-210.6E-6,-210.6E-6,-210.6E-6
1.700,-7.717E-6,-7.717E-6,-7.717E-6,-7.717E-6,-7.717E-6,-7.717E-6,-7.717E-6,-7.717E-6,-7.717E-6,-7.717E-6,-55.07E-6,-55.07E-6,-55.07E-6,-55.07E-6,-55.07E-6,-55.07E-6,-55.07E-6,-55.07E-6,-55.07E-6,-55.07E-6,-110.3E-6,-110.3E-6,-110.3E-6,-110.3E-6,-110.3E-6,-110.3E-6,-110.3E-6,-110.3E-6,-110.3E-6,-110.3E-6,-160.6E-6,-160.6E-6,-160.6E-6,-160.6E-6,-160.6E-6,-160.6E-6,-160.6E-6,-160.6E-6,-160.6E-6,-160.6E-6,-210.8E-6,-210.8E-6,-210.8E-6,-210.8E-6,-210.8E-6,-210.8E-6,-210.8E-6,-210.8E-6,-210.8E-6,-210.8E-6
1.750,-7.724E-6,-7.724E-6,-7.724E-6,-7.724E-6,-7.724E-6,-7.724E-6,-7.724E-6,-7.724E-6,-7.724E-6,-7.724E-6,-55.12E-6,-55.12E-6,-55.12E-6,-55.12E-6,-55.12E-6,-55.12E-6,-55.12E-6,-55.12E-6,-55.12E-6,-55.12E-6,-110.4E-6,-110.4E-6,-110.4E-6,-110.4E-6,-110.4E-6,-110.4E-6,-110.4E-6,-110.4E-6,-110.4E-6,-110.4E-6,-160.7E-6,-160.7E-6,-160.7E-6,-160.7E-6,-160.7E-6,-160.7E-6,-160.7E-6,-160.7E-6,-160.7E-6,-160.7E-6,-211.0E-6,-211.0E-6,-211.0E-6,-211.0E-6,-211.0E-6,-211.0E-6,-211.0E-6,-211.0E-6,-211.0E-6,-211.0E-6
1.800,-7.732E-6,-7.732E-6,-7.732E-6,-7.732E-6,-7.732E-6,-7.732E-6,-7.732E-6,-7.732E-6,-7.732E-6,-7.732E-6,-55.18E-6,-55.18E-6,-55.18E-6,-55.18E-6,-55.18E-6,-55.18E-6,-55.18E-6,-55.18E-6,-55.18E-6,-55.18E-6,-110.5E-6,-110.5E-6,-110.5E-6,-110.5E-6,-110.5E-6,-110.5E-6,-110.5E-6,-110.5E-6,-110.5E-6,-110.5E-6,-160.9E-6,-160.9E-6,-160.9E-6,-160.9E-6,-160.9E-6,-160.9E-6,-160.9E-6,-160.9E-6,-160.9E-6,-160.9E-6,-211.2E-6,-211.2E-6,-211.2E-6,-211.2E-6,-211.2E-6,-211.2E-6,-211.2E-6,-211.2E-6,-211.2E-6,-211.2E-6
1.850,-7.740E-6,-7.740E-6,-7.740E-6,-7.740E-6,-7.740E-6,-7.740E-6,-7.740E-6,-7.740E-6,-7.740E-6,-7.740E-6,-55.23E-6,-55.23E-6,-55.23E-6,-55.23E-6,-55.23E-6,-55.23E-6,-55.23E-6,-55.23E-6,-55.23E-6,-55.23E-6,-110.7E-6,-110.7E-6,-110.7E-6,-110.7E-6,-110.7E-6,-110.7E-6,-110.7E-6,-110.7E-6,-110.7E-6,-110.7E-6,-161.0E-6,-161.0E-6,-161.0E-6,-161.0E-6,-161.0E-6,-161.0E-6,-161.0E-6,-161.0E-6,-161.0E-6,-161.0E-6,-211.4E-6,-211.4E-6,-211.4E-6,-211.4E-6,-211.4E-6,-211.4E-6,-211.4E-6,-211.4E-6,-211.4E-6,-211.4E-6
1.900,-7.747E-6,-7.747E-6,-7.747E-6,-7.747E-6,-7.747E-6,-7.747E-6,-7.747E-6,-7.747E-6,-7.747E-6,-7.747E-6,-55.29E-6,-55.29E-6,-55.29E-6,-55.29E-6,-55.29E-6,-55.29E-6,-55.29E-6,-55.29E-6,-55.29E-6,-55.29E-6,-110.8E-6,-110.8E-6,-110.8E-6,-110.8E-6,-110.8E-6,-110.8E-6,-110.8E-6,-110.8E-6,-110.8E-6,-110.8E-6,-161.2E-6,-161.2E-6,-161.2E-6,-161.2E-6,-161.2E-6,-161.2E-6,-161.2E-6,-161.2E-6,-161.2E-6,-161.2E-6,-211.6E-6,-211.6E-6,-211.6E-6,-211.6E-6,-211.6E-6,-211.6E-6,-211.6E-6,-211.6E-6,-211.6E-6,-211.6E-6
1.950,-7.755E-6,-7.755E-6,-7.755E-6,-7.755E-6,-7.755E-6,-7.755E-6,-7.755E-6,-7.755E-6,-7.755E-6,-7.755E-6,-55.34E-6,-55.34E-6,-55.34E-6,-55.34E-6,-55.34E-6,-55.34E-6,-55.34E-6,-55.34E-6,-55.34E-6,-55.34E-6,-110.9E-6,-110.9E-6,-110.9E-6,-110.9E-6,-110.9E-6,-110.9E-6,-110.9E-6,-110.9E-6,-110.9E-6,-110.9E-6,-161.3E-6,-161.3E-6,-161.3E-6,-161.3E-6,-161.3E-6,-161.3E-6,-161.3E-6,-161.3E-6,-161.3E-6,-161.3E-6,-211.8E-6,-211.8E-6,-211.8E-6,-211.8E-6,-211.8E-6,-211.8E-6,-211.8E-6,-211.8E-6,-211.8E-6,-211.8E-6
2.000,-7.762E-6,-7.762E-6,-7.762E-6,-7.762E-6,-7.762E-6,-7.762E-6,-7.762E-6,-7.762E-6,-7.762E-6,-7.762E-6,-55.39E-6,-55.39E-6,-55.39E-6,-55.39E-6,-55.39E-6,-55.39E-6,-55.39E-6,-55.39E-6,-55.39E-6,-55.39E-6,-111.0E-6,-111.0E-6,-111.0E-6,-111.0E-6,-111.0E-6,-111.0E-6,-111.0E-6,-111.0E-6,-111.0E-6,-111.0E-6,-161.5E-6,-161.5E-6,-161.5E-6,-161.5E-6,-161.5E-6,-161.5E-6,-161.5E-6,-161.5E-6,-161.5E-6,-161.5E-6,-212.0E-6,-212.0E-6,-212.0E-6,-212.0E-6,-212.0E-6,-212.0E-6,-212.0E-6,-212.0E-6,-212.0E-6,-212.0E-6
2.050,-7.769E-6,-7.769E-6,-7.769E-6,-7.769E-6,-7.769E-6,-7.769E-6,-7.769E-6,-7.769E-6,-7.769E-6,-7.769E-6,-55.45E-6,-55.45E-6,-55.45E-6,-55.45E-6,-55.45E-6,-55.45E-6,-55.45E-6,-55.45E-6,-55.45E-6,-55.45E-6,-111.1E-6,-111.1E-6,-111.1E-6,-111.1E-6,-111.1E-6,-111.1E-6,-111.1E-6,-111.1E-6,-111.1E-6,-111.1E-6,-161.7E-6,-161.7E-6,-161.7E-6,-161.7E-6,-161.7E-6,-161.7E-6,-161.7E-6,-161.7E-6,-161.7E-6,-161.7E-6,-212.2E-6,-212.2E-6,-212.2E-6,-212.2E-6,-212.2E-6,-212.2E-6,-212.2E-6,-212.2E-6,-212.2E-6,-212.2E-6
2.100,-7.777E-6,-7.777E-6,-7.777E-6,-7.777E-6,-7.777E-6,-7.777E-6,-7.777E-6,-7.777E-6,-7.777E-6,-7.777E-6,-55.50E-6,-55.50E-6,-55.50E-6,-55.50E-6,-55.50E-6,-55.50E-6,-55.50E-6,-55.50E-6,-55.50E-6,-55.50E-6,-111.2E-6,-111.2E-6,-111.2E-6,-111.2E-6,-111.2E-6,-111.2E-6,-111.2E-6,-111.2E-6,-111.2E-6,-111.2E-6,-161.8E-6,-161.8E-6,-161.8E-6,-161.8E-6,-161.8E-6,-161.8E-6,-161.8E-6,-161.8E-6,-161.8E-6,-161.8E-6,-212.4E-6,-212.4E-6,-212.4E-6,-212.4E-6,-212.4E-6,-212.4E-6,-212.4E-6,-212.4E-6,-212.4E-6,-212.4E-6
2.150,-7.784E-6,-7.784E-6,-7.784E-6,-7.784E-6,-7.784E-6,-7.784E-6,-7.784E-6,-7.784E-6,-7.784E-6,-7.784E-6,-55.55E-6,-55.55E-6,-55.55E-6,-55.55E-6,-55.55E-6,-55.55E-6,-55.55E-6,-55.55E-6,-55.55E-6,-55.55E-6,-111.3E-6,-111.3E-6,-111.3E-6,-111.3E-6,-111.3E-6,-111.3E-6,-111.3E-6,-111.3E-6,-111.3E-6,-111.3E-6,-162.0E-6,-162.0E-6,-162.0E-6,-162.0E-6,-162.0E-6,-162.0E-6,-162.0E-6,-162.0E-6,-162.0E-6,-162.0E-6,-212.6E-6,-212.6E-6,-212.6E-6,-212.6E-6,-212.6E-6,-212.6E-6,-212.6E-6,-212.6E-6,-212.6E-6,-212.6E-6
2.200,-7.791E-6,-7.791E-6,-7.791E-6,-7.791E-6,-7.791E-6,-7.791E-6,-7.791E-6,-7.791E-6,-7.791E-6,-7.791E-6,-55.60E-6,-55.60E-6,-55.60E-6,-55.60E-6,-55.60E-6,-55.60E-6,-55.60E-6,-55.60E-6,-55.60E-6,-55.60E-6,-111.4E-6,-111.4E-6,-111.4E-6,-111.4E-6,-111.4E-6,-111.4E-6,-111.4E-6,-111.4E-6,-111.4E-6,-111.4E-6,-162.1E-6,-162.1E-6,-162.1E-6,-162.1E-6,-162.1E-6,-162.1E-6,-162.1E-6,-162.1E-6,-162.1E-6,-162.1E-6,-212.8E-6,-212.8E-6,-212.8E-6,-212.8E-6,-212.8E-6,-212.8E-6,-212.8E-6,-212.8E-6,-212.8E-6,-212.8E-6
2.250,-7.799E-6,-7.799E-6,-7.799E-6,-7.799E-6,-7.799E-6,-7.799E-6,-7.799E-6,-7.799E-6,-7.799E-6,-7.799E-6,-55.66E-6,-55.66E-6,-55.66E-6,-55.66E-6,-55.66E-6,-55.66E-6,-55.66E-6,-55.66E-6,-55.66E-6,-55.66E-6,-111.5E-6,-111.5E-6,-111.5E-6,-111.5E-6,-111.5E-6,-111.5E-6,-111.5E-6,-111.5E-6,-111.5E-6,-111.5E-6,-162.3E-6,-162.3E-6,-162.3E-6,-162.3E-6,-162.3E-6,-162.3E-6,-162.3E-6,-162.3E-6,-162.3E-6,-162.3E-6,-213.0E-6,-213.0E-6,-213.0E-6,-213.0E-6,-213.0E-6,-213.0E-6,-213.0E-6,-213.0E-6,-213.0E-6,-213.0E-6
2.300,-7.806E-6,-7.806E-6,-7.806E-6,-7.806E-6,-7.806E-6,-7.806E-6,-7.806E-6,-7.806E-6,-7.806E-6,-7.806E-6,-55.71E-6,-55.71E-6,-55.71E-6,-55.71E-6,-55.71E-6,-55.71E-6,-55.71E-6,-55.71E-6,-55.71E-6,-55.71E-6,-111.6E-6,-111.6E-6,-111.6E-6,-111.6E-6,-111.6E-6,-111.6E-6,-111.6E-6,-111.6E-6,-111.6E-6,-111.6E-6,-162.4E-6,-162.4E-6,-162.4E-6,-162.4E-6,-162.4E-6,-162.4E-6,-162.4E-6,-162.4E-6,-162.4E-6,-162.4E-6,-213.2E-6,-213.2E-6,-213.2E-6,-213.2E-6,-213.2E-6,-213.2E-6,-213.2E-6,-213.2E-6,-213.2E-6,-213.2E-6
2.350,-7.814E-6,-7.814E-6,-7.814E-6,-7.814E-6,-7.814E-6,-7.814E-6,-7.814E-6,-7.814E-6,-7.814E-6,-7.814E-6,-55.77E-6,-55.77E-6,-55.77E-6,-55.77E-6,-55.77E-6,-55.77E-6,-55.77E-6,-55.77E-6,-55.77E-6,-55.77E-6,-111.7E-6,-111.7E-6,-111.7E-6,-111.7E-6,-111.7E-6,-111.7E-6,-111.7E-6,-111.7E-6,-111.7E-6,-111.7E-6,-162.6E-6,-162.6E-6,-162.6E-6,-162.6E-6,-162.6E-6,-162.6E-6,-162.6E-6,-162.6E-6,-162.6E-6,-162.6E-6,-213.4E-6,-213.4E-6,-213.4E-6,-213.4E-6,-213.4E-6,-213.4E-6,-213.4E-6,-213.4E-6,-213.4E-6,-213.4E-6
2.400,-7.821E-6,-7.821E-6,-7.821E-6,-7.821E-6,-7.821E-6,-7.821E-6,-7.821E-6,-7.821E-6,-7.821E-6,-7.821E-6,-55.82E-6,-55.82E-6,-55.82E-6,-55.82E-6,-55.82E-6,-55.82E-6,-55.82E-6,-55.82E-6,-55.82E-6,-55.82E-6,-111.8E-6,-111.8E-6,-111.8E-6,-111.8E-6,-111.8E-6,-111.8E-6,-111.8E-6,-111.8E-6,-111.8E-6,-111.8E-6,-162.7E-6,-162.7E-6,-162.7E-6,-162.7E-6,-162.7E-6,-162.7E-6,-162.7E-6,-162.7E-6,-162.7E-6,-162.7E-6,-213.7E-6,-213.7E-6,-213.7E-6,-213.7E-6,-213.7E-6,-213.7E-6,-213.7E-6,-213.7E-6,-213.7E-6,-213.7E-6
2.450,-7.829E-6,-7.829E-6,-7.829E-6,-7.829E-6,-7.829E-6,-7.829E-6,-7.829E-6,-7.829E-6,-7.829E-6,-7.829E-6,-55.88E-6,-55.88E-6,-55.88E-6,-55.88E-6,-55.88E-6,-55.88E-6,-55.88E-6,-55.88E-6,-55.88E-6,-55.88E-6,-111.9E-6,-111.9E-6,-111.9E-6,-111.9E-6,-111.9E-6,-111.9E-6,-111.9E-6,-111.9E-6,-111.9E-6,-111.9E-6,-162.9E-6,-162.9E-6,-162.9E-6,-162.9E-6,-162.9E-6,-162.9E-6,-162.9E-6,-162.9E-6,-162.9E-6,-162.9E-6,-213.9E-6,-213.9E-6,-213.9E-6,-213.9E-6,-213.9E-6,-213.9E-6,-213.9E-6,-213.9E-6,-213.9E-6,-213.9E-6
2.500,-7.837E-6,-7.837E-6,-7.837E-6,-7.837E-6,-7.837E-6,-7.837E-6,-7.837E-6,-7.837E-6,-7.837E-6,-7.837E-6,-55.93E-6,-55.93E-6,-55.93E-6,-55.93E-6,-55.93E-6,-55.93E-6,-55.93E-6,-55.93E-6,-55.93E-6,-55.93E-6,-112.0E-6,-112.0E-6,-112.0E-6,-112.0E-6,-112.0E-6,-112.0E-6,-112.0E-6,-112.0E-6,-112.0E-6,-112.0E-6,-163.1E-6,-163.1E-6,-163.1E-6,-163.1E-6,-163.1E-6,-163.1E-6,-163.1E-6,-163.1E-6,-163.1E-6,-163.1E-6,-214.1E-6,-214.1E-6,-214.1E-6,-214.1E-6,-214.1E-6,-214.1E-6,-214.1E-6,-214.1E-6,-214.1E-6,-214.1E-6
